surname;amount
Ekeberg;784
Ekeland;424
Ekeli;247
Ekelund;269
Ekerhovd;320
Ekker;215
Eklund;422
Eknes;387
Ekre;272
Ekrem;312
Ekren;430
Ekroll;292
Ekstrøm;.
Elde;391
Elden;263
Eldevik;237
Eliassen;4237
Ellefsen;1816
Ellingsen;4824
Elmi;465
Elnes;226
Elstad;613
Elton;209
Eltvik;224
Elvebakk;308
Elvenes;251
Elverum;368
Elvestad;500
Elvik;210
Emanuelsen;242
Emberland;250
Emblem;258
Emilsen;475
Endal;283
Endresen;1531
Enersen;369
Enes;213
Eng;910
Engan;898
Engdal;348
Enge;638
Engebakken;414
Engebretsen;2705
Engedal;391
Engeland;281
Engelsen;598
Engelstad;571
Engen;3726
Engenes;226
Enger;2160
Engeset;417
Engeseth;330
Engevik;361
Engh;1148
Englund;235
Engseth;204
Engstad;220
Engstrøm;321
Engum;329
Engvik;299
Enoksen;1064
Ensrud;234
Erdal;741
Erga;502
Erichsen;899
Eriksen;18499
Eriksrud;250
Eriksson;1399
Erikstad;428
Erland;424
Erlandsen;1348
Ernstsen;263
Ersland;395
Erstad;742
Ertsås;210
Ervik;1227
Eskedal;228
Eskeland;471
Espe;420
Espedal;870
Espeland;1682
Espelid;330
Espenes;331
Espeseth;419
Estensen;233
Evanger;239
Evenrud;218
Evensen;5885
Evenstad;275
Evertsen;216
Evje;237
Evjen;1037
Evju;245
Fadnes;253
Fagerbakke;230
Fagereng;247
Fagerhaug;264
Fagerheim;803
Fagerland;568
Fagerli;1038
Fagermo;271
Fagernes;302
Fagertun;222
Fagervik;276
Fagervold;231
Fagerås;249
Falch;985
Falck;511
Falk;293
Falkenberg;225
Fallet;304
Fanebust;280
Farah;848
Fardal;276
Farestveit;299
Farooq;241
Farstad;1590
Fauskanger;420
Fauske;725
Fedje;.
Fenne;210
Feragen;319
Ferkingstad;359
Fernandez;214
Ferstad;229
Fevang;556
Fidje;281
Fidjeland;239
Figenschau;229
Figenschou;282
Fiksdal;376
Fimland;.
Fimreite;250
Finne;487
Finnerud;249
Finnesand;233
Finnøy;220
Finseth;331
Finsrud;465
Finstad;1749
Fischer;390
Fiske;380
Fiskerstrand;357
Fiskum;307
Fiskvik;349
Fiskå;292
Fjeld;2502
Fjeldberg;543
Fjelde;601
Fjeldheim;564
Fjeldstad;1733
Fjell;804
Fjellanger;298
Fjelldal;438
Fjellestad;292
Fjellheim;860
Fjellstad;830
Fjellvang;306
Fjermestad;343
Fjær;208
Fjæreide;203
Fjærli;306
Fjørtoft;780
Flaa;353
Flaaten;201
Flage;213
Flataker;216
Flatebø;393
Flaten;923
Flatland;373
Flatmo;216
Flatøy;266
Flatås;310
Fleischer;307
Flem;413
Flesland;229
Flo;460
Flø;359
Flønes;251
Fløtre;274
Fløysvik;226
Flåten;484
Foldnes;229
Folgerø;334
Folkedal;241
Folkestad;634
Folkvord;334
Folland;260
Follestad;386
Fonn;259
Fonnes;214
Forberg;538
Forbord;340
Forland;303
Formo;346
Fornes;508
Forsberg;832
Forseth;354
Forsmo;323
Fosen;218
Foss;3104
Fossan;298
Fossdal;445
Fosse;2190
Fossen;1015
Fosser;206
Fosshaug;276
Fossheim;794
Fossland;297
Fossli;394
Fossmark;233
Fossmo;268
Fossnes;231
Fossum;2698
Fotland;514
Frafjord;484
Framnes;293
Frank;211
Frantzen;1512
Fredheim;1353
Fredriksen;6597
Fremstad;554
Fretheim;261
Friberg;361
Friestad;504
Frigstad;353
Friis;503
Frivold;209
Frogner;518
Frost;216
Frostad;471
Frydenberg;318
Frydenlund;1077
Frøiland;282
Frøland;466
Frøseth;300
Frøshaug;215
Frøyen;349
Frøyland;662
Frøysa;242
Frøystad;263
Fuglerud;270
Fuglestad;667
Fure;546
Furnes;1011
Furre;329
Furset;253
Furseth;284
Furu;541
Furuhaug;.
Furuheim;252
Furulund;620
Furunes;323
Furuseth;887
Fyhn;241
Fykse;214
Fylkesnes;319
Fylling;506
Fyllingen;201
Følstad;259
Førde;1061
Føreland;218
Førland;855
Førre;254
Førsund;227
